#,Monitor Item,Description,Units,Condition,Values/Status,Notes
61,AT OD MONITOR,A/T OD Monitor,On/Off,,,Always Off for 370Z
62,AT OD CANCEL,A/T OD Cancel,On/Off,,,Always Off for 370Z
63,CRUISE LAMP,Cruise Control On Lamp,On/Off,,,
64,SET LAMP,Cruise Control Set Lamp,On/Off,,,
65,FAN DUTY,Cooling Fan Duty,%,,,
66,AC EVA TEMP,A/C Evaporator Temperature,°C or °F,,,
67,AC EVA TARGET,A/C Evaporator Target Temperature,°C or °F,,,
68,A/F ADJ-B1,Air/Fuel Ratio Adjustment Bank 1,-,,,
69,A/F ADJ-B2,Air/Fuel Ratio Adjustment Bank 2,-,,,
70,TP SEN 1-B2,Throttle Position Sensor 1 Bank 2,V,,,5V power supply
71,TP SEN 2-B2,Throttle Position Sensor 2 Bank 2,V,,,
72,P/N POSI SW,Park/Neutral Position Switch,On/Off,,,
73,INT/A TEMP SE,Intake Air Temperature,°C or °F,,,
74,AC PRESS SEN,A/C Compressor Pressure,V,,,
75,A/F SEN1 (B2),Air/Fuel Ratio Sensor 1 Bank 2,V,,,
76,ATOM PRES SEN,-,mV,,,Not used on 370Z
77,BRAKE BST PRES SE,-,mV,,,Not used on 370Z
78,INT/V TIM (B1),Intake Valve Timing Bank 1,°CA,,,
79,INT/V TIM (B2),Intake Valve Timing Bank 2,°CA,,,
80,MAP SENSOR,-,V,,5V Power Supply,Not used on 370Z
81,EVAP LEAK DIAG,Evaporator Leak Diagnosis,Not Yet/Complete,,,
82,EVAP DIAG READY,Evaporator Leak Diagnosis Ready,On/Off,,,
83,VVEL LEARN,VVEL Learning,Not Yet/Done,,,
84,VVEL SEN LEARN-B1,VVEL Sensor Learning Bank 1,V,,,
85,VVEL SEN LEARN-B2,VVEL Sensor Learning Bank 2,V,,,
86,VVEL POSITION SEN-B1,VVEL Position Sensor Bank 1,V,,,
87,VVEL POSITION SEN-B2,VVEL Position Sensor Bank 2,V,,,
88,VVEL TIM-B1,VVEL Timing Bank 1,°,,,
89,VVEL TIM-B2,VVEL Timing Bank 2,°,,,
90,ALT DUTY,Alternator Duty,%,,,
91,ALT DUTY SIG,Power Generation Voltage Variable Control Status,On/Off,,,
92,GEAR POSITION,Gear Position,1/2/3/4/5/6/N/R,,,
93,M/T SYN REV STAT,M/T S-Mode Status,Inactive/Active,,,
94,M/T SYNCHRO SW,M/T S-Mode Switch,On/Off,,,
95,CPP SW,Clutch Pedal Position Switch,On/Off,,,
96,CLUTCH INTLCK SW,Clutch Interlock Switch,On/Off,,,
97,M/T N POS LEARN,M/T Neutral Position Learning,Not Yet/Done,,,
98,THRTL STK CNT B1,-,-,,,Not used on 370Z
99,HO2 S2 DIAG1(B1),Heated Oxygen Sensor 2 Diagnosis 1 Bank 1,Incomplete/Complete,,,
100,HO2 S2 DIAG2(B1),Heated Oxygen Sensor 2 Diagnosis 2 Bank 1,Incomplete/Complete,,,
101,HO2 S2 DIAG1(B2),Heated Oxygen Sensor 2 Diagnosis 1 Bank 2,Incomplete/Complete,,,
102,HO2 S2 DIAG2(B2),Heated Oxygen Sensor 2 Diagnosis 2 Bank 2,Incomplete/Complete,,,
103,A/F SEN1 DIAG1(B1),Air/Fuel Sensor 1 Diagnosis 1 Bank 1,Incomplete/Complete,,,
104,A/F SEN1 DIAG1(B2),Air/Fuel Sensor 1 Diagnosis 1 Bank 2,Incomplete/Complete,,,
105,A/F SEN1 DIAG2(B1),Air/Fuel Sensor 1 Diagnosis 2 Bank 1,Incomplete/Complete,,,
106,A/F SEN1 DIAG2(B2),Air/Fuel Sensor 1 Diagnosis 2 Bank 2,Incomplete/Complete,,,
107,A/F SEN1 DIAG3(B1),Air/Fuel Sensor 1 Diagnosis 3 Bank 1,Absent/Present,,,
108,A/F SEN1 DIAG3(B2),Air/Fuel Sensor 1 Diagnosis 3 Bank 2,Absent/Present,,,
